Date	High	Low	Open	Close	Volume	Adj Close
2021-01-04	230.38	225.04	226.5	227.85	24897900	227.85
2021-01-05	240.76	228.12	229.05	240.4	35823800	240.4
2021-01-06	238.3	225.86	234.95	227.61	37146100	227.61
2021-01-07	229.95	220.09	229.31	226.9	49361800	226.9
2021-01-08	238.6	226.68	227.88	236.19	34884900	236.19
2021-01-11	230.82	225.86	229.9	227.37	23036900	227.37
2021-01-12	229.75	225.14	228.38	225.6	18969900	225.6
2021-01-13	240.49	226.29	229.94	235.3	38805100	235.3
2021-01-14	245.7	241.47	245.31	242.98	31381600	242.98
2021-01-15	246.99	242.15	246.25	243.46	21561600	243.46
2021-01-19	252.88	246.99	250.0	251.65	23681900	251.65
2021-01-20	269.0	262.7	267.5	265.49	44640800	265.49
2021-01-21	264.6	257.9	264.13	260.0	20709900	260.0
2021-01-22	260.33	255.5	256.8	258.62	13518200	258.62
2021-01-25	265.2	257.85	263.62	261.38	19478600	261.38
2021-01-26	266.0	261.12	263.8	265.92	14681200	265.92
2021-01-27	265.92	259.95	265.13	260.25	16050400	260.25
2021-01-28	261.57	257.33	259.17	260.76	10244900	260.76
2021-01-29	258.9	252.3	256.03	253.83	14693000	253.83
